"AirlineID","AirlineName"
"1","Allegiant Air"
"2","Trans States Airline"
"3","GoJet Airlines, LLC "
"4","Frontier Airlines In"
"5","Horizon Air"
"6","Capital Cargo Intern"
"7","SkyWest Airlines Inc"
"8","Endeavor Air Inc."
"9","Compass Airlines"
"10","Virgin America"
"11","Republic Airlines"
"12","Peninsula Airways In"
"13","Delta Air Lines Inc."
"14","Southwest Airlines C"
"15","Comair Inc."
"16","Envoy Air"
"17","Hawaiian Airlines In"
"18","Mesa Airlines Inc."
"19","American Airlines In"
"20","Air Wisconsin Airlin"
"21","Spirit Air Lines"
"22","Empire Airlines Inc."
"23","United Air Lines Inc"
"24","ExpressJet Airlines "
"25","Alaska Airlines Inc."
"26","Commutair Aka Champl"
"27","JetBlue Airways"
"28","Cape Air"
