"CityID","AirportCode","City","StateID"
"1","SFO","San Francisco, CA","38"
"2","SMF","Sacramento, CA","38"
"3","AVL","Asheville, NC","6"
"4","SGF","Springfield, MO","46"
"5","FAR","Fargo, ND","49"
"6","CHA","Chattanooga, TN","1"
"7","SBA","Santa Barbara, CA","38"
"8","RAP","Rapid City, SD","31"
"9","ATY","Watertown, SD","31"
"10","ABI","Abilene, TX","3"
"11","GNV","Gainesville, FL","51"
"12","BTR","Baton Rouge, LA","13"
"13","PIT","Pittsburgh, PA","18"
"14","ATW","Appleton, WI","7"
"15","BFL","Bakersfield, CA","38"
"16","MLB","Melbourne, FL","51"
"17","PBG","Plattsburgh, NY","12"
"18","HIB","Hibbing, MN","9"
"19","SAF","Santa Fe, NM","5"
"20","GUC","Gunnison, CO","29"
"21","BRW","Barrow, AK","21"
"22","OAJ","Jacksonville/Camp Lejeune, NC","6"
"23","PGV","Greenville, NC","6"
"24","BOS","Boston, MA","42"
"25","RDU","Raleigh/Durham, NC","6"
"26","HNL","Honolulu, HI","35"
"27","GSO","Greensboro/High Point, NC","6"
"28","PSE","Ponce, PR","30"
"29","SHV","Shreveport, LA","13"
"30","BFF","Scottsbluff, NE","44"
"31","YKM","Yakima, WA","15"
"32","EWN","New Bern/Morehead/Beaufort, NC","6"
"33","ATL","Atlanta, GA","52"
"34","BUR","Burbank, CA","38"
"35","CVG","Cincinnati, OH","34"
"36","MRY","Monterey, CA","38"
"37","LBF","North Platte, NE","44"
"38","CRP","Corpus Christi, TX","3"
"39","CAK","Akron, OH","17"
"40","SBY","Salisbury, MD","37"
"41","COU","Columbia, MO","46"
"42","TUL","Tulsa, OK","19"
"43","TXK","Texarkana, AR","41"
"44","ABE","Allentown/Bethlehem/Easton, PA","18"
"45","AZA","Phoenix, AZ","39"
"46","BGM","Binghamton, NY","12"
"47","ESC","Escanaba, MI","4"
"48","OME","Nome, AK","21"
"49","ONT","Ontario, CA","38"
"50","MSO","Missoula, MT","48"
"51","ALW","Walla Walla, WA","15"
"52","PIR","Pierre, SD","31"
"53","JHM","Kapalua, HI","35"
"54","DFW","Dallas/Fort Worth, TX","3"
"55","LFT","Lafayette, LA","13"
"56","TYS","Knoxville, TN","1"
"57","SRQ","Sarasota/Bradenton, FL","51"
"58","FAT","Fresno, CA","38"
"59","DAL","Dallas, TX","3"
"60","EGE","Eagle, CO","29"
"61","CNY","Moab, UT","26"
"62","JAC","Jackson, WY","36"
"63","CKB","Clarksburg/Fairmont, WV","32"
"64","YNG","Youngstown/Warren, OH","17"
"65","SEA","Seattle, WA","15"
"66","FLL","Fort Lauderdale, FL","51"
"67","CMX","Hancock/Houghton, MI","4"
