"StateID","StateCode","StateName"
"1","TN","Tennessee"
"2","NV","Nevada"
"3","TX","Texas"
"4","MI","Michigan"
"5","NM","New Mexico"
"6","NC","North Carolina"
"7","WI","Wisconsin"
"8","NJ","New Jersey"
"9","MN","Minnesota"
"10","NH","New Hampshire"
"11","IN","Indiana"
"12","NY","New York"
"13","LA","Louisiana"
"14","ME","Maine"
"15","WA","Washington"
"16","VT","Vermont"
"17","OH","Ohio"
"18","PA","Pennsylvania"
"19","OK","Oklahoma"
"20","KS","Kansas"
"21","AK","Alaska"
"22","VI","U.S. Virgin Islands"
"23","IL","Illinois"
"24","SC","South Carolina"
"25","OR","Oregon"
"26","UT","Utah"
"27","DE","Delaware"
"28","AL","Alabama"
"29","CO","Colorado"
"30","PR","Puerto Rico"
"31","SD","South Dakota"
"32","WV","West Virginia"
"33","VA","Virginia"
"34","KY","Kentucky"
"35","HI","Hawaii"
"36","WY","Wyoming"
"37","MD","Maryland"
"38","CA","California"
"39","AZ","Arizona"
"40","RI","Rhode Island"
"41","AR","Arkansas"
"42","MA","Massachusetts"
"43","ID","Idaho"
"44","NE","Nebraska"
"45","MS","Mississippi"
"46","MO","Missouri"
"47","IA","Iowa"
"48","MT","Montana"
"49","ND","North Dakota"
"50","TT","U.S. Pacific Trust Territories and Possessions"
"51","FL","Florida"
"52","GA","Georgia"
"53","CT","Connecticut"
